affiliation,result
"Graphic Era Hill University, Dehradun, India","Graphic Era Hill University, Dehradun Campus, St. Mary's Church Road, Dehradun District, Dehradun - 248001, Uttarakhand, India"
"ShriRamdeobaba College of Engineering and Management, Nagpur, India","Nagpur, Nagpur Division, India"
"China Electronic Product Reliability and Environmental Testing Research Institute Guangzhou, Guangdong, China","Guangzhou, Guangdong, China"
"Institute of Computing Technology CAS, Beijing, China","Beijing, Beijing Shi, China"
"Ltd. Yantai, China","Yantai, Shandong Sheng, China"
"Faculty of Engineering Karadeniz Technical University, Trabzon, Turkey","Trabzon, Turkey"
"Career Center Trabzon,Turkey","Trabzon, Turkey"
"Sanya University, Sanya, China","572300 China, Hainan Province, Jiyang District, 820 County Road, Sanya University"
"Deutschland GmbH Eching, Germany","DENSO AUTOMOTIVE Deutschland GmbH, Kirchhoffstraße, 85386 Eching, Germany"
"Institute of Psychology Beijing, China","100101 China, Beijing, Chaoyang District, 科荟南路, Institute of Psychology, Chinese Academy of Science, North Building"
"Ltd Beijing, China","Beijing Economic and Technological Development Area, Daxing District, Beijing, China"
"Cangxi Middle School of Sichuan, Sichuan, China","Sichuan Sheng, China"
"Assumption University Samutprakarn, Thailand",Thailand
"Chongqing University of Posts and Telecommunications, Chongqing, China","400065 China, Chongqing, Nan'an District, Huangjueya, Chongwen Road 2, Chongqing University of Posts and Telecommunications"
"Chongqing University of Posts and Telecommunications Ministry of Education, Chongqing, China","Chongqing Shi, China"
"Yangtze University Jingzhou, China","Jingzhou, Hubei, China"
"Key Lab of Industrial Internet of Things and Networked Control Ministry of Education,Chongqing,China","Key Lab of Industrial Internet of Things and Networked Control Ministry of Education,Chongqing,China"
"(Chongqing University of Posts and Telecommunications) Ministry of Education, Chongqing, China","Chongqing Shi, China"
"Malta Information Technology Agency, Blata l-Bajda, Malta","Malta, Illinois, United States of America"
"School of Computer Science University of Galway, Galway, Ireland","Galway, Ireland"
"Guangdong University of Science and Technology Dongguan, Guangdong, China","Dongguan, Guangdong, China"
"Cross-border e-commerce research institute Guangdong University of Science and Technology, Dongguan, Guangdong, China","Cross-border e-commerce research institute Guangdong University of Science and Technology, Dongguan, Guangdong, China"
"University of Galway Galway, Ireland","University of Galway, University Road, Nun's Island, Galway, H91 TK33, Ireland"
"National University of Ireland Galway, Ireland","University of Galway, University Road, Nun's Island, Galway, H91 TK33, Ireland"
"University of Galway University Road, Galway, Ireland","University of Galway, University Road, Nun's Island, Galway, H91 TK33, Ireland"
"Tongji University Shanghai, China","200092 China, Shanghai, Yangpu District, Sipinglu, Siping Road 1239, Tongji University"
"Xiamen Tobacco Industrial Co. Ltd., Fujian, China","Fujian, China"
"Tongji University Shanghai,China","200092 China, Shanghai, Yangpu District, Sipinglu, Siping Road 1239, Tongji University"
"Army Engineering University of PLA Shijiazhuang, China","Shijiazhuang, Hebei, China"
"Army Engineering University of the People’s Liberation Army, Shijiazhang, China","Shijiazhang, Anhui Sheng, China"
"German Jordanian University Amman, Jordan","German Jordanian University, Promenade of Peace, 17125 Hosba'n Sub-District, Jordan"
"Hamad Bin Khalifa University Doha, Qatar","Doha, Baladīyat ad Dawḩah, Qatar"
"Beijing Key Laboratory of Research and System Evaluation of Power Dispatching Automation Technology Beijing, China","Beijing Key Laboratory of Research and System Evaluation of Power Dispatching Automation Technology Beijing, China"
"China Electric Power Research Institute, Beijing, China","100193 China, Beijing, Haidian District, Qinghe, XiaoYing East Road, CEPRI China Electric Power Research Institute (State Grid)"
"Amity University Lucknow, UP, India","Amity University, East End Lake Road, Lucknow District, Chinhat - 227105, Uttar Pradesh, India"
"Raharja University Tangerang, Indonesia","Tangerang, Banten, Indonesia"
"BINUS Graduate Program - Doctor of Computer Science Bina Nusantara University, Jakarta, Indonesia","Jakarta, DKI Jakarta, Indonesia"
"Ecole Centrale de Nantes Nantes, France","Centrale Nantes, Avenue du Halleray, 44300 Nantes, France"
"PT. Bank Mandiri (Persero) Tbk., Banten, Indonesia","Banten, Indonesia"
"Raharja Tangerang, Indonesia","Universitas Raharja, Jalan Jenderal Sudirman, Tangerang, Tangerang 11151, Banten, Indonesia"
"Bina Nusantara University Jakarta, Indonesia","BINUS (Bina Nusantara) University Kijang Campus, Jalan Kemanggisan Ilir II, Palmerah, Special Region of Jakarta 11480, Indonesia"
"Jiangxi University of Traditional Chinese Medicine, NanChang, China","Nanchang, Jiangxi Sheng, China"
"National Institute of Technology Kurukshetra, Haryana","National Institute of Technology Kurukshetra, MDR119, Kurukshetra District, Mirjapur - 136119, Haryana, India"
"Maharishi Arvind College of Engineering and Research Center Jaipur, Rajasthan, India","Jaipur, India"
"Vivekananda Global University Jaipur, India","Jaipur, India"
"Hohhot Minzu Coll., Hohhot, China","Hohhot, Inner Mongolia, China"
"ICS-FORTH, Crete, Greece","Crete, Greece"
"Tianjin University of Traditional Chinese Medicine Tianjin, China","Tianjin Shi, China"
"Chinese Medicine Tianjin, China","Tianjin Shi, China"
"School of Arts and Design Hubei Wuhan, China","Wuhan, Hubei, China"
"Suzhou University Suzhou, China","215123 China, Jiangsu, Suzhou Industrial Park, 金鸡湖街道, Ren'ai Road 188号, Suzhou Institute for Advanced Research, University of Science and Technology of China"
"Suzhou University Suzhou, Anhui, China","Suzhou, Anhui Sheng, China"
"Changjiang Polytechnic, Wuhan, China","Wuhan, Hubei, China"
"University of Medicine Shiyan, China","Shiyan, Hubei, China"
"Hubei University of Medicine Shiyan, China","Shiyan, Hubei, China"
OPPO US Research Center,"Zou Department, Benin"
"Uiversity of Cape Town Cape Town, South Africa","Cape Town, City of Cape Town, South Africa"
"University of Cape Town Rondebosch, South Africa","University Avenue, Rondebosch, Cape Town, 7700, South Africa"
"College of Control Science and Engineering, Shandong University, P.R.China","College of Control Science and Engineering, Shandong University, P.R.China"
"Business School, Shandong University of Political Science and Law, P.R. China",China
"Business School, Shandong University of Political Science and Law, PR China",China
"Space Engineering University, Beijing, China","101422 China, Beijing, Huairou District, 雁栖镇九路, Space Engineering University"
"The University of Aizu Aizu-wakamatsu Fukushima, Japan","Aizu-wakamatsu Shi, Japan"
"Guangdong Provincial Key Laboratory of Fire Science and Intelligent Emergency Technology, Guangzhou, China","Guangdong Provincial Key Laboratory of Fire Science and Intelligent Emergency Technology, Guangzhou, China"
"Sun Yat-sen University Shenzhen, China","518107 China, Guangdong Province, Guangming District, Xinhu Sub-district, Gongchang Road Tunnel, Sun Yat-sen University"
"The University of Aizu Aizuwakamatsu, Japan","Aizu-wakamatsu Shi, Japan"
"Ltd. Tokyo, Japan","Acecook Co., Ltd. Tokyo Factory, Kawagoe, Saitama Prefecture, Japan"
"Jaypee University of Information Technology Waknaghat Teh Kandaghat, Distt. Solan, H.P., India","Jaypee University of Information Technology Waknaghat Teh Kandaghat, Distt. Solan, H.P., India"
"JUIT Waknaghat, Solan, India","Jaypee University of Information Technology, NH5, Solan District, Waknaghat - 173215, Himachal Pradesh, India"
"University of Kashmir Srinagar, India","University of Kashmir, Hazratbal Road, Hazratbal, Srinagar - 190006, Jammu and Kashmir, India"
"PG Studies, Middle East College","College, Alaska, United States of America"
Middle East College,"Middle East college, Muscat Expressway, 124, Rusayl, Oman"
"Banasthali Vidyapith Rajasthan, India","Rajasthan, India"
"Amity University Noida, India","Amity University, Noida, Noida-Greater Noida Expressway, Gautam Buddha Nagar District, Dadri - 201313, Uttar Pradesh, India"
"Coimbra Business School ISCAC, Coimbra, Portugal","Instituto Superior de Contabilidade e Administração de Coimbra (ISCAC), Rua Alto da Relva, 3045-241 Coimbra, Portugal"
"Coimbra Institute of Engineering CEOT - University of Algarve, Coimbra, Portugal","Coimbra, Coimbra Municipality, Portugal"
"Polytechnic Institute of Coimbra Coimbra, Portugal","Coimbra, Coimbra Municipality, Portugal"
"Hospitality Institute of Sanya, Hainan, China","Sanya, Hainan, China"
"Yunnan University of Business Management, Kunming, China","Kunming, Yunnan, China"
"Wuhan Business University, Wuhan, China","China, Hubei, Hannan District, Zhuanyang Subdistrict, HouGuanHu Avenue, Wuhan Business University"
"Anhui Communications Vocational & Technical College, Hefei, China","Hefei, Anhui Sheng, China"
"Transportation Network Operation Center of Anhui Province, Hefei, China","Hefei, Anhui Sheng, China"
"McGill University Montreal, Canada","McGill University, Pine Avenue West, Montreal, QC H2W 1S4, Canada"
"Universidade da Coruña (UDC) A Coruña, Spain","A Coruña, Galicia, Spain"
"Universidade da Coruña A Coruña, Spain","Praza da Universidade, Santiago de Compostela, Spain"
"Yangtze Delta Region Institute (Huzhou) University of Electronic Science and Technology of China, Huzhou, China",China
"University of New Brunswick Fredericton, NB, Canada","University of New Brunswick, Charlotte Street, Fredericton, NB E3B 4C9, Canada"
"ISI Foundation, Turin, Italy","Turin, Italy"
"Giovanni Petri is with the ISI Foundation, Turin, Italy","Turin, Italy"
"Chengdu Polytechnic, Chengdu, China","Chengdu, Sichuan Sheng, China"
"Mianyang Teachers' College Mianyang, China","Mianyang, Sichuan Sheng, China"
"Yango University, FuZhou, China","Fuzhou, Fujian, China"
"U.S. Department of Commerce, Washington, DC","U.S. Department of Commerce, 1401 Constitution Avenue Northwest, Washington, DC 20230, United States of America"
"Ankara Ankara, TR","Ankara, Turkey"
"Universidad de Burgos Burgos, Spain","Burgos, Castille and León, Spain"
"Department of Research and Innovation, Treelogic Asturias, Spain","Asturias, Spain"
"Department of Computing, Middle East College, Muscat","Muscat, Muḩāfaz̧at Masqaţ, Oman"
"Oak Ridge National Laboratory, New York University","New York University, New York, New York, United States of America"
"University of Cagliari Cagliari, Italy","Cagliari, Italy"
"University of Cagliari, Italy","Cagliari, Italy"
"Big Data Laboratory AgileLab s.r.l, Rome, Italy","Rome, Italy"
"Knowledge Media Institute Open University, Milton Keynes, UK","Milton Keynes, United Kingdom"
"Institute of Cognitive Sciences and Technologies National Council of Research, Bologna, Italy","Bologna, Italy"
"Faculty of Engineering International Islamic University Malaysia, Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia"
"Khulna University Khulna, Bangladesh","Khulna University, Khulna-Satkhira Highway, জিরো পয়েন্ট, Khulna - 9208, Bangladesh"
"Yunnan Normal University Kunming,China","650030 China, Yunnan, Kunming, Huashan Subdistrict, 联大路, Yunnan Normal University"
"Yunnan Normal University Kunming, China","650030 China, Yunnan, Kunming, Huashan Subdistrict, 联大路, Yunnan Normal University"
"Jiangxi Normal University Science and Technology College, Jiujiang, China","Jiujiang, Jiangxi Sheng, China"
"Liaoning Technical University Fuxin, China","123009 China, Liaoning, Fuxin, Huadong Subdistrict, 玉龙路 88号, Liaoning Technical University(Yulong Campus)"
"Winnipeg MB, Canada","Winnipeg, MB, Canada"
"The Australian National University Canberra, ACT, Australia","Canberra, Australian Capital Territory, Australia"
"The Australian National University, Australia",Australia
"Hobart TAS, Australia","Hobart, Tasmania, Australia"
"China University of Geosciences Wuhan, China","430074 China, Hubei, Hongshan District, 关山街道, Lumo Road 388号, China University of Geosciences (Wuhan)"
"Shanghai Key Lab of Intelligent Information Processing Fudan University Shanghai, China","Shanghai, Shanghai Shi, China"
"and School of Computer Science Fudan University, Shanghai, China","Shanghai, Shanghai Shi, China"
"Library of Guilin University of Technology, Guilin, China","Guilin, Guangxi Zhuangzu Zizhiqu, China"
"School of Management Harbin Institute of Technology, Harbin, China","Harbin, Heilongjiang Sheng, China"
"Institute of Higher Education Harbin Institute of Technology, Harbin, China","Harbin, Heilongjiang Sheng, China"
"Suzhou Nuclear Power Research Institute, Shenzhen, China","Shenzhen, China"
"Department of Computer Science and Technology, State Key Lab of Intelligent Technology and Systems","Department of Computer Science and Technology, State Key Lab of Intelligent Technology and Systems"
"Graduate School of Engineering Sciences & Information Technology Hamdard University, Karachi, Pakistan","Karachi, Karāchi District, Pakistan"
"Chalmers University of Technology Gothenburg, Sweden","Chalmers University of Technology, Teknikgatan, 417 56 Gothenburg, Sweden"
"PAF – Karachi Inst. of Engg. & Tech. Karachi, Pakistan","Karachi, Karāchi District, Pakistan"
"University College Dublin Dublin 4, Ireland","Campus Bookshop, Road 12, Roebuck, Dublin, D04 XT65, Ireland"
"Jinan University Zhuhai, P.R. China","519000 China, Guangdong Province, Xiangzhou District, Qianshan, Qianshan Road 206號, Jinan University (Zhuhai Campus)"
"Jinan University Zhuhai, China","519000 China, Guangdong Province, Xiangzhou District, Qianshan, Qianshan Road 206號, Jinan University (Zhuhai Campus)"
"Branch of the National University of Science and Technology “MISIS” in Dushanbe, Dushanbe, Tajikistan","Dushanbe, Tajikistan"
"Shanghai Institute of Technology Shanghai, China","200233 China, Shanghai, Xuhui District, Tianlin, Caobao Road, Shanghai Institute of Technology"
"Pennsylvania State University, Harrisburg","Harrisburg, Pennsylvania, United States of America"
University of Houston,"University of Houston, 4800 Calhoun Road, Houston, TX 77004, United States of America"
"Army Insttute of Technology Pune, India","Pune, Pune Division, India"
"Shri JJTU Rajasthan, India","Rajasthan, India"
"Dr. Akhilesh Das Gupta Institute of Technology and Management, New Delhi, India","New Delhi, India"
"Dr. Akhilesh Das Gupta Institute Of Technology And Management New Delhi, India","New Delhi, India"
"University of Nis Nis, Serbia","University of Niš, Кеј Мике Палигорића, 18101 City of Niš, Serbia"
"University of Niš Niš, Serbia","University of Niš, Кеј Мике Палигорића, 18101 City of Niš, Serbia"
"Shanghai Normal University Tianhua College Shanghai, China","Shanghai, Shanghai Shi, China"
"Berlin Berlin, DE","Berlin Ostbahnhof, Mitteltunnel, 10243 Berlin, Germany"
"Karlsruhe Institute of Technology Karlsruhe, Germany","Karlsruhe Institute of Technology, 89584 Ehingen (Donau), Germany"
"LISI Laboratory FSSM, Cadi Ayyad University, Marrakech, Morocco","Marrakesh, Marrakech, Morocco"
"FSTG Cadi Ayyad University Marrakesh, Morocco","Marrakesh, Marrakech, Morocco"
"LISI Laboratory FSTG - Cadi Ayyad University, Marrakesh, Morocco","Marrakesh, Marrakech, Morocco"
"Purdue University West Lafayette, IN, USA","Purdue University, 610, West Lafayette, IN 47907, United States of America"
"Harbin Institute of Technology, Harbin, China","150000 China, Heilongjiang, Harbin, Songhuajiang, Haicheng Street, Harbin Institute of Technology"
"Wuhan University of Technology, Wuhan, China","430063 China, Hubei, Wuchang District, 杨园街道, 和平大道 1178, Wuhan University of Technology"
"Uppsala University Visby, Sweden","Visby, Gotland, Sweden"
"Institute of Financial Big Data Universidad Carlos III de Madrid, Spain, Madrid, Spain","Madrid, Spain"
"University College London, UK","University College London, Gordon Square, London, WC1H 0AB, United Kingdom"
"Korea University Sejong Metropolitan City, South Korea","South Korea, Sejong, Sejong-ro, Korea University, 30017"
"Inc. San Francisco, CA, USA","Inca Ln, San Francisco, CA, United States of America"
"Heibei University of Technology Tianjin, China","Tianjin Shi, China"
"Hebei Univ. of Technol., Tianjin, China","Tianjin Shi, China"
"Shanghai Univ. of Electr. Power, Shanghai, China","Shanghai, Shanghai Shi, China"
"Early Warning Academy, Wuhan, China","Wuhan, Hubei, China"
"Air Force Warning Academy Wuhan, Hubei, China","Wuhan, Hubei, China"
Guangdong University of Science &Technology,"518055 China, Guangdong Province, Nanshan District, University Town of Shenzhen, Xueyuan Boulevard 1088, Southern University of Science and Technology"
"School of Engineering & Technology Sri Padmavati MahilaVisvavidyalayam, India",India
Economic Prestige Institute of Management and Research Indore,"Indore, Indore district, India"
"Faculty of Political and Social Sciences Universitas Padjadjaran, Indonesia","Pajajaran, Lampung, Indonesia"
"ICFAI Business School (A Constituent of IFHE University) Hyderabad, India","Hyderabad, Hyderābād, India"
"International Education Corporation Almaty, Kazakhstan","Almaty, Almaty Qalasy, Kazakhstan"
"Guangdong University of Science & Technology, Guangdong, China","Guangdong, China"
"University of Manitoba Winnipeg, MB, Canada Department of Computer Science, University of Manitoba, Winnipeg, MB, Canada","MB, Canada"
"Toronto Metropolitan University Toronto, ON, Canada","Toronto, ON, Canada"
"Department of Computer Science, Brock University, Canada","University, ON, Canada"
"Department of Electrical, Computer, and Biomedical EngineeringToronto Metropolitan UniversityToronto, ON, Canada","ON, Canada"
"University of Hagen, Germany","Hagen, North Rhine-Westphalia, Germany"
"EBS Bus. Sch., Wiesbaden, Germany","Wiesbaden, Hesse, Germany"
"University of Bayreuth Project Group Business & Information Systems Engineering of the Fraunhofer FIT, Bayreuth, Germany","University of Bayreuth Project Group Business & Information Systems Engineering of the Fraunhofer FIT, Bayreuth, Germany"
"Busan National University of Education Busan, Republic of Korea","South Korea, Busan, Geoje 1(il)-dong, Geojecheon-ro 225beon-gil, Busan National University of Education, 47519"
"Electronics and Telecommunications Research Institute Daejeon, South Korea","Daejeon, South Korea"
"Electronics and Telecommunications Research Institute, Republic of Korea","South Korea, Gwangju, 첨단1동, Cheomdangwagi-ro, Electronics and Telecommunications Research Institute, 61005"
"FAST - NUCES Chiniot Faisalabad Campus, Pakistan",Pakistan
"Universiti Teknologi Malaysia (UTM) Skudai, Malaysia","Richiamo Coffee - UTM Skudai, Pejabat Pos Universiti Teknologi Malaysia, Jalan Meranti, Skudai, Johor, Jalan Meranti, 81310 Iskandar Puteri, Johor, Malaysia"
"Faculty of Electrical Engineering Universiti Teknologi Malaysia (UTM), Skudai, Malaysia","Skudai, Johor, Malaysia"
"Beijing Institute of Technology Beijing, china","100872 China, Beijing, Haidian District, Zhongguancun, South Zhongguancun Street 5, Beijing Institute of Technology (BIT)"
"Guangzhou College of Commerce Guangzhou, China","China, Guangdong Province, Huangpu District, Longhu Subdistrict, Jiulong Avenue, Guangzhou College of Commerce"
"GuangZhou College of Commerce Guangzhou, China","China, Guangdong Province, Huangpu District, Longhu Subdistrict, Jiulong Avenue, Guangzhou College of Commerce"
"University of Piraeus Piraeus, Greece","University of Piraeus, Καραολή και Δημητρίου 80, Piraeus, Greece"
"Department of Digital Systems, University of Piraeus, Greece","Πανεπιστήμιο Πειραιώς, Piraeus, Piraiós, Greece"
"School of Engineering University of the Aegean, Samos, Greece","Samos, Sámou, Greece"
"University of Piraeus Pireas, Greece","Piraeus, Attikís, Greece"
"Moscow State Technological University «STANKIN» Moscow, Russian Federation","Moscow, Russia"
"Nanjing University of Posts and Telecommunications Nanjing, China","210023 China, Jiangsu, Qixia District, Xianlin, Wenyuan Road 9, Nanjing University of Posts and Telecommunications (Xianlin Campus)"
"Nanjing University of Posts and Telecommunications, Nanjing, China","210023 China, Jiangsu, Qixia District, Xianlin, Wenyuan Road 9, Nanjing University of Posts and Telecommunications (Xianlin Campus)"
"Alibaba Group, Hangzhou, China","310052 China, Zhejiang, Binjiang District, 长河街道, 秋溢路, Alibaba Group"
"Big Data and Artificial Intelligence Lab, Shandong University of Finance and Economic","Anderson, South Carolina, United States of America"
"School of Management Science and Engineering, Shandong University of Finance and Economic","School of Management Science and Engineering, Shandong University of Finance and Economic"
"National University of Asuncion Asuncion, Paraguay","Asunción, Paraguay"
"Robert Morris University Pittsburgh, PA, USA","Morris St, Pittsburgh, PA, United States of America"
"Pennsylvania Western University California, PA, USA","Pennsylvania Western University, California, 250 University Avenue, California, Washington County, PA 15419, United States of America"
"Software Engineering Institute East China Normal University, Shanghai, China","Shanghai, Shanghai Shi, China"
"East China Normal University Shanghai, China","200062 China, Shanghai, Putuo District, Changfengxincun, North Zhongshan Road 3663, East China Normal University"
"Xidian University Xi'an, Shaanxi, China","710126 China, Shaanxi, Chang'an District, Xinglong, 外环北路 266号, Xidian University (South Campus)"
"Key Laboratory of Collaborative Intelligence Systems, Ministry of Education of China",China
"Applied College Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia","Dammam, Eastern, Saudi Arabia"
"Faculty of Computers and Information Menoufia University, Shibin El Kom, Egypt","Shibīn al Kawm, Muḩāfaz̧at al Minūfīyah, Egypt"
"Saudi Aramco Cybersecurity Chair College of Computer Science and Information Technology, Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia","Saudi Aramco Cybersecurity Chair College of Computer Science and Information Technology, Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia"
"VTU Belagavi, India","Visvesvaraya Technological University, NH748AA, Belagavi District, Kinaye - 590014, Karnataka, India"
"Department of CNE, VTU, Belagavi","Belgaum, Belgaum district, India"
"Visvesvaraya Technological University Belagavi, Karnataka, India","Visvesvaraya Technological University, NH748AA, Belagavi District, Kinaye - 590014, Karnataka, India"
"Changsha Hunan, China","Hunan, China"
"Yueyang Hunan, China","Yueyang, Yueyanglou District, China"
"Bharati Vidyapeeth (Deemed to be University) Pune, India","Pune, Pune Division, India"
"Saint Petersburg Electrotechnical University ETU “LETI”, St. Petersburg, Russia","Saint Petersburg, St.-Petersburg, Russia"
"Harbin Finance University Harbin, China","150500 China, Heilongjiang, Hulan District, Yumin, Xueyuan Road, Heilongjiang University of Finance and Economics"
"Department of Computing, Middle East College, Sultanate of Oman",Oman
"Bijie Guizhou, China","551700 China, Guizhou"
"Zhengzhou University Henan, China","450011 China, Henan, Jinshui District, Wenhualu Subdistrict, Fengchan Road, Zhengzhou University (North Campus)"
"Shenzhen Power Supply Bureau Co. Ltd., Shenzheng, China",China
"Ltd. Shenzhen, China","518110 China, Guangdong Province, Longhua District, Minzhi Sub-district"
"Shenzhen Digital Power Grid Research Institute Co. Ltd, Shenzhen, Guangdong, China","Shenzhen, China"
"School of Integrated Circuit Nanjing, China","Nanjing, Jiangsu Sheng, China"
"Chongqing University of Education Chongqing, China","Chongqing Shi, China"
"School of Electrical and Computer Engineering National Technical University of Athens, Athens, Greece","Athens, Nomarchía Athínas, Greece"
"National Technical University of Athens Athens, Greece","National Technical University of Athens, Τοσίτσα, Athens, Greece"
"National Technical University of Athens, Athens, Greece","National Technical University of Athens, Τοσίτσα, Athens, Greece"
"Suite5 Data Intelligence Solutions Ltd., Limassol, Cyprus","Limassol, Cyprus"
Laureate Online Education,Laureate Online Education
"University of Liverpool Liverpool, UK","University of Liverpool, Mount Pleasant, Knowledge Quarter, Liverpool, L3 5TQ, United Kingdom"
"Research Lab for Knowledge and Wisdom, Xi’an Jiaotong-Liverpool University, China","University, Lafayette County, Mississippi, United States of America"
"Department of Computer Science, the University of Liverpool, U.K.","Liverpool, United Kingdom"
"Namibia University of Science and Technology Windhoek, Namibia","Namibia University of Science and Technology (NUST), Jackson Kaujeua Street, Windhoek 10005, Namibia"
"13 Jackson Kaujeua street Windhoek, Namibia","Sander House, 13 Jackson Kaujeua Street, Windhoek 10005, Namibia"
"Ghana Communication Technology University Accra, Ghana","Accra, Greater Accra Region, Ghana"
"13 Jackson Kaujeua Street Windhoek, Namibia","Sander House, 13 Jackson Kaujeua Street, Windhoek 10005, Namibia"
"University of Agriculture, Makurdi, Nigeria","Makurdi, Benue State, Nigeria"
"Qilu University of Technology (Shandong Academy of Sciences) Jinan, China","Jinan, Shandong Sheng, China"
"KPI National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", Kyiv, Ukraine","KPI National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", Kyiv, Ukraine"
"Information Research Institute Qilu University of Technology, Jinan, China","Jinan, Shandong Sheng, China"
"Information Research Institute of Shandong Academy of Sciences, Jinan, China","Jinan, Shandong Sheng, China"
"Shandong Academic of Sciences Jinan, China","Jinan, Shandong Sheng, China"
"Surface ship combat Experiment Center Dalian, China","Dalian, Dalian Shi, China"
"Peter the Great St. Petersburg Polytechnic University St. Petersburg, Russia","Peter the Great Saint Petersburg Polytechnic University, Светлановский проспект, Lesnoi, Saint Petersburg, Russia, 194223"
"Symbiosis Institute of Digital and Telecom Management, Symbiosis International (Deemed University)Lavale, Pune","Pune, Pune Division, India"
"Symbiosis International (Deemed University) (SIU) Lavale, Pune, India","Pune, Pune Division, India"
"Symbiosis Institute of Digital and Telecom Management Symbiosis International (Deemed University), Pune, India","Pune, Pune Division, India"
"Polish Academy of Sciences Warsaw, Poland","Polish Academy of Sciences, New World 72, 00-330 Warsaw, Poland"
"Dalhousie University Halifax, NS, Canada","Dalhousie University, DaCosta Row, Halifax, NS B3J 1Z1, Canada"
Embrapa Instrumentation,Embrapa Instrumentation
Post-Graduate Program in Computer Science of the Federal University of São Carlos (UFSCar),"São Carlos, Brazil"
"Post-Graduation Program in Computer Science - Federal University of São Carlos, SP, Brazil","São Carlos, Brazil"
"São Carlos SP, Brazil","São Carlos, Região Geográfica Intermediária de Araraquara, Brazil"
"Thapar Institute of Engineering & Technology Patiala, India","Thapar Institute of Engineering and Technology, 32, Nabha Road, Patiala District, Patiala - 147004, Punjab, India"
"Viettel Group Hanoi, Vietnam","Viettel Group, D26 Ngõ 3 Tôn Thất Thuyết, Cau Giay District, Hà Nội, Vietnam"
"Korea Institute of Science and Technology Information, Daejeon, South Korea","South Korea, Daejeon, Oncheon 2(i)-dong, Eoeun-ro 52beon-gil, Korea Institute of Science and Technology Information, 34140"
Umm Al-Qura University,"Umm al-Qura University, طريق الأمير سلطان, Makkah Al Mukarramah, Saudi Arabia"
"VTT Technical Research Centre of Finland, Oulu, Finland","Oulu, Finland"
"Oulu FI, Finland","90100 Oulu, Finland"
"Korea Institute of Science and Technology Information (KISTI) Daejeon, Korea","Daejeon, South Korea"
"Korea Institute of Sciecne and Technology Information Daejeon, Korea","Daejeon, South Korea"
"Computational Science & Engineering Center, Korea Institute of Science and Technology Information","Computational Science & Engineering Center, Korea Institute of Science and Technology Information"
"DAELIM UNIVERSITY COLLEGE Anyang Gyeonggi, Republic of Korea","South Korea, Gyeonggi, Anyang-si, Bisan 1-dong, Gyeongsu-daero, Daelim University College, 13995"
"Department of Computer Engineering, Kyung Hee University, Republic of Korea",South Korea
"Kyung Hee University Suwon, Korea","South Korea, Gyeonggi, Suwon-si, Yeongtong-gu, Deogyeong-daero 1732, Kyung Hee University Global Campus, 17104"
"Kyung Hee University Dongdaemun-gu, Seoul, KR","South Korea, Seoul, Hoegi-dong, Kyungheedae-ro 26, Kyung Hee University Seoul Campus, 02447"
"Koneru Lakshmaiah Education Foundation Guntur, India","Koneru Lakshmaiah Education Foundation, KLEF TO NH5, Guntur, Vaddeswaram - 522502, Andhra Pradesh, India"
"Koneru Lakshmaiah Education Foundation Vaddeswaram, India","Koneru Lakshmaiah Education Foundation, KLEF TO NH5, Guntur, Vaddeswaram - 522502, Andhra Pradesh, India"
"Zhejiang Electric Power Information Communication Co. Ltd, Hangzhou, China","Hangzhou, Zhejiang Sheng, China"
"Zhejiang Huayun Information Technology Co. Ltd, Hangzhou, China","Hangzhou, Zhejiang Sheng, China"
"College of Information Engineering China Jiliang University, Hangzhou, China","Hangzhou, Zhejiang Sheng, China"
"College of Design and Engineering, National University of Singapore, Singapore","National University of Singapore, Singapore"
"STEM University of South Australia, Adelaide, Australia","Adelaide, Australia"
"University of Indonesia Depok, Indonesia","Perpustakaan Pusat UI, Jalan Professor Doctor Nugroho Notosusanto, Beji, Depok 16424, West Java, Indonesia"
"Oklahoma State University Stillwater, USA","Oklahoma State University, North Monroe Street, Stillwater, OK 74075, United States of America"
"Jilin Vocational Teachers College, JiLin, China","Jilin Sheng, China"
"“Enzo Ferrari” of the University of Modena and Reggio Emilia Modena, MO, Italy","Modena, Italy"
"Modena Emilia-Romagna, IT","Modena, Italy"
"Computer Science Operational Research and Applied Statistics Laboratory, Abdelmalek Essaadi University, Tetuan, Morocco","Computer Science Operational Research and Applied Statistics Laboratory, Abdelmalek Essaadi University, Tetuan, Morocco"
"Faculty of Sciences University Abdelmalek Essaadi, Tetuan, Morocco","Cercle de Tétouan, Doukkala-Abda, Morocco"
"Department of Computer Science And Engineering, Chandigarh University, India",India
"Chandigarh university Mohali, India","Mohali, Ajitgarh, India"
"Shanghai Urban Construction Vocational College, Shanghai, China","Shanghai, Shanghai Shi, China"
"53 Kabanbay batyr avenue Astana, Kazakhstan","Kazakhstan, 010088 Astana, Kabanbay Batyr Avenue, 53, Nazarbayev University"
